Date,Today,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
2012-01-11,-0.1630346615280942,0.35805524366350205,-0.1586178313097153,1.0453404998798765,1.1102204763697943,0.5374323132188108,-1.0
2012-01-12,-0.2745123705290231,-0.1630346615280942,0.35805524366350205,-0.1586178313097153,1.0453404998798765,1.1102204763697943,-1.0
2012-01-13,-0.37495931972802987,-0.2745123705290231,-0.1630346615280942,0.35805524366350205,-0.1586178313097153,1.0453404998798765,-1.0
2012-01-17,1.1648193515856997,-0.37495931972802987,-0.2745123705290231,-0.1630346615280942,0.35805524366350205,-0.1586178313097153,1.0
2012-01-18,1.0383977557396618,1.1648193515856997,-0.37495931972802987,-0.2745123705290231,-0.1630346615280942,0.35805524366350205,1.0
2012-01-19,-0.3169418846683092,1.0383977557396618,1.1648193515856997,-0.37495931972802987,-0.2745123705290231,-0.1630346615280942,-1.0
2012-01-20,-1.741671397567246,-0.3169418846683092,1.0383977557396618,1.1648193515856997,-0.37495931972802987,-0.2745123705290231,-1.0
2012-01-23,1.6916524175695669,-1.741671397567246,-0.3169418846683092,1.0383977557396618,1.1648193515856997,-0.37495931972802987,1.0
2012-01-24,-1.6377810191491537,1.6916524175695669,-1.741671397567246,-0.3169418846683092,1.0383977557396618,1.1648193515856997,-1.0
2012-01-25,6.243898826825944,-1.6377810191491537,1.6916524175695669,-1.741671397567246,-0.3169418846683092,1.0383977557396618,1.0
2012-01-26,-0.45448450307019606,6.243898826825944,-1.6377810191491537,1.6916524175695669,-1.741671397567246,-0.3169418846683092,-1.0
2012-01-27,0.5959972898395893,-0.45448450307019606,6.243898826825944,-1.6377810191491537,1.6916524175695669,-1.741671397567246,1.0
2012-01-30,1.2810885025970942,0.5959972898395893,-0.45448450307019606,6.243898826825944,-1.6377810191491537,1.6916524175695669,1.0
2012-01-31,0.765976489474185,1.2810885025970942,0.5959972898395893,-0.45448450307019606,6.243898826825944,-1.6377810191491537,1.0
2012-02-01,-0.06350171632544255,0.765976489474185,1.2810885025970942,0.5959972898395893,-0.45448450307019606,6.243898826825944,-1.0
2012-02-02,-0.23457899520322734,-0.06350171632544255,0.765976489474185,1.2810885025970942,0.5959972898395893,-0.45448450307019606,-1.0
2012-02-03,1.0019629248438688,-0.23457899520322734,-0.06350171632544255,0.765976489474185,1.2810885025970942,0.5959972898395893,1.0
2012-02-06,0.9332398313403933,1.0019629248438688,-0.23457899520322734,-0.06350171632544255,0.765976489474185,1.2810885025970942,1.0
2012-02-07,1.0474623786279835,0.9332398313403933,1.0019629248438688,-0.23457899520322734,-0.06350171632544255,0.765976489474185,1.0
2012-02-08,1.674368328356013,1.0474623786279835,0.9332398313403933,1.0019629248438688,-0.23457899520322734,-0.06350171632544255,1.0
2012-02-09,3.459410936577867,1.674368328356013,1.0474623786279835,0.9332398313403933,1.0019629248438688,-0.23457899520322734,1.0
2012-02-10,0.050643501189395757,3.459410936577867,1.674368328356013,1.0474623786279835,0.9332398313403933,1.0019629248438688,1.0
2012-02-13,1.86049182311665,0.050643501189395757,3.459410936577867,1.674368328356013,1.0474623786279835,0.9332398313403933,1.0
2012-02-14,1.3648986027233079,1.86049182311665,0.050643501189395757,3.459410936577867,1.674368328356013,1.0474623786279835,1.0
2012-02-15,-2.3142028873494147,1.3648986027233079,1.86049182311665,0.050643501189395757,3.459410936577867,1.674368328356013,-1.0
2012-02-16,0.9122045747452567,-2.3142028873494147,1.3648986027233079,1.86049182311665,0.050643501189395757,3.459410936577867,1.0
2012-02-17,-0.017886100576480768,0.9122045747452567,-2.3142028873494147,1.3648986027233079,1.86049182311665,0.050643501189395757,-1.0
2012-02-21,2.5352446784539184,-0.017886100576480768,0.9122045747452567,-2.3142028873494147,1.3648986027233079,1.86049182311665,1.0
2012-02-22,-0.35154463103945766,2.5352446784539184,-0.017886100576480768,0.9122045747452567,-2.3142028873494147,1.3648986027233079,-1.0
2012-02-23,0.6529841125707092,-0.35154463103945766,2.5352446784539184,-0.017886100576480768,0.9122045747452567,-2.3142028873494147,1.0
2012-02-24,1.1657946360436267,0.6529841125707092,-0.35154463103945766,2.5352446784539184,-0.017886100576480768,0.9122045747452567,1.0
2012-02-27,0.6412602005419155,1.1657946360436267,0.6529841125707092,-0.35154463103945766,2.5352446784539184,-0.017886100576480768,1.0
2012-02-28,1.835412916417356,0.6412602005419155,1.1657946360436267,0.6529841125707092,-0.35154463103945766,2.5352446784539184,1.0
2012-02-29,1.31301875841221,1.835412916417356,0.6412602005419155,1.1657946360436267,0.6529841125707092,-0.35154463103945766,1.0
2012-03-01,0.3742463268090468,1.31301875841221,1.835412916417356,0.6412602005419155,1.1657946360436267,0.6529841125707092,1.0
2012-03-02,0.13037805228206523,0.3742463268090468,1.31301875841221,1.835412916417356,0.6412602005419155,1.1657946360436267,1.0
2012-03-05,-2.2047384848102203,0.13037805228206523,0.3742463268090468,1.31301875841221,1.835412916417356,0.6412602005419155,-1.0
2012-03-06,-0.5439299980925072,-2.2047384848102203,0.13037805228206523,0.3742463268090468,1.31301875841221,1.835412916417356,-1.0
2012-03-07,0.08106805156471442,-0.5439299980925072,-2.2047384848102203,0.13037805228206523,0.3742463268090468,1.31301875841221,1.0
2012-03-08,2.129283376414026,0.08106805156471442,-0.5439299980925072,-2.2047384848102203,0.13037805228206523,0.3742463268090468,1.0
2012-03-09,0.5867751455075343,2.129283376414026,0.08106805156471442,-0.5439299980925072,-2.2047384848102203,0.13037805228206523,1.0
